ID;Name;Number;Set;Series;Rarity;HP;Type;Artist;Release Date;Average Price;Count;Finish Type;Reverse Holo;Language
FST_int_245;Celebi V;245/284;Fusion Strike;Sword & Shield;Ultra Rare;190;Pokémon;Teeziro;2021-11-12T00:00:00Z;99,98;1;HOLOFOIL;No;EN
SIT_int_TG17;Mawile V;TG17/245;Silver Tempest;Sword & Shield;Character Super Rare;200;Pokémon;saino misaki;2022-11-11T00:00:00Z;15,30;1;HOLOFOIL;No;EN
JTG_int_177;Salamence ex;177/190;Journey Together;Scarlet & Violet;Ultra Rare;320;Pokémon;5ban Graphics;2025-03-28T00:00:00Z;2,13;1;HOLOFOIL;No;EN
BRS_int_64;Whimsicott V;64/224;Brilliant Stars;Sword & Shield;Double Rare;190;Pokémon;Saki Hayashiro;2022-02-25T00:00:00Z;0,80;1;HOLOFOIL;No;EN
CRZ_int_66;Hatterene VMAX;66/230;Crown Zenith;Sword & Shield;Triple Rare;320;Pokémon;5ban Graphics;2023-01-20T00:00:00Z;1,71;1;HOLOFOIL;No;EN
LOR_int_82;Enamorus V;82/247;Lost Origin;Sword & Shield;Double Rare;210;Pokémon;5ban Graphics;2022-09-09T00:00:00Z;0,75;1;HOLOFOIL;No;EN
CRZ_int_37;Kyogre V;37/230;Crown Zenith;Sword & Shield;Double Rare;230;Pokémon;PLANETA Tsuji;2023-01-20T00:00:00Z;1,37;1;HOLOFOIL;No;EN
FFI_int_20;Seismitoad-EX;20/113;Furious Fists;XY;Double Rare;180;Pokémon;Eske Yoshinob;2014-08-13T00:00:00Z;4,47;1;HOLOFOIL;No;EN
XYP_int_8;Yveltal-EX;XY08/211;XY Promos;XY;Unknown;170;Pokémon;5ban Graphics;2013-10-12T00:00:00Z;8,36;1;HOLOFOIL;No;EN
PRC_int_54;Kyogre-EX;54/164;Primal Clash;XY;Double Rare;180;Pokémon;Ryota Murayama;2015-02-04T00:00:00Z;18,55;1;HOLOFOIL;No;EN
DRX_int_85;Rayquaza-EX;85/128;Dragons Exalted;Black & White;Double Rare;170;Pokémon;Eske Yoshinob;2012-08-15T00:00:00Z;38,61;1;HOLOFOIL;No;EN
XYP_int_19;Delphox-EX;XY19/211;XY Promos;XY;Unknown;170;Pokémon;5ban Graphics;2013-10-12T00:00:00Z;7,32;1;HOLOFOIL;No;EN
PLB_int_9;Virizion-EX;9/105;Plasma Blast;Black & White;Double Rare;170;Pokémon;Ryo Ueda;2013-08-14T00:00:00Z;6,33;1;HOLOFOIL;No;EN
EVS_int_189;Umbreon V;189/237;Evolving Skies;Sword & Shield;Ultra Rare;200;Pokémon;Teeziro;2021-08-27T00:00:00Z;477,83;1;HOLOFOIL;No;EN
BRS_int_TG23;Umbreon VMAX;TG23/224;Brilliant Stars;Sword & Shield;Character Super Rare;310;Pokémon;kawayoo;2022-02-25T00:00:00Z;126,28;1;HOLOFOIL;No;EN
SVP_int_176;Umbreon ex;176/217;Scarlet & Violet Promos;Scarlet & Violet;Unknown;280;Pokémon;5ban Graphics;2023-01-01T00:00:00Z;39,45;1;HOLOFOIL;No;EN
BWP_int_93;Umbreon;BW93/101;Black & White Promos;Black & White;Unknown;100;Pokémon;The Pokémon Company Art Team;2011-03-01T00:00:00Z;136,85;1;HOLOFOIL;No;EN
FCO_int_119;Umbreon-EX;119/125;Fates Collide;XY;Ultra Rare;170;Pokémon;Ryo Ueda;2016-05-02T00:00:00Z;167,20;1;HOLOFOIL;No;EN
EVS_int_214;Umbreon VMAX;214/237;Evolving Skies;Sword & Shield;Rainbow Rare;310;Pokémon;AKIRA EGAWA;2021-08-27T00:00:00Z;72,43;1;HOLOFOIL;No;EN
SUM_int_154;Umbreon-GX;154/172;Sun & Moon;Sun & Moon;Rainbow Rare;200;Pokémon;5ban Graphics;2017-02-03T00:00:00Z;158,81;1;HOLOFOIL;No;EN
DS_int_17;Umbreon;17/114;Delta Species;EX;Holo Rare;70;Pokémon;Ryo Ueda;2005-10-31T00:00:00Z;457,36;1;HOLOFOIL;No;EN
HS_int_121;Darkness Energy;121/124;HeartGold & SoulSilver;HeartGold & SoulSilver;Common;;Energy;;2010-02-10T00:00:00Z;28,38;1;NORMAL;No;EN
EVS_int_95;Umbreon VMAX;95/237;Evolving Skies;Sword & Shield;Triple Rare;310;Pokémon;AKIRA EGAWA;2021-08-27T00:00:00Z;29,70;1;HOLOFOIL;No;EN
SUM_int_142;Umbreon-GX;142/172;Sun & Moon;Sun & Moon;Ultra Rare;200;Pokémon;5ban Graphics;2017-02-03T00:00:00Z;46,52;1;HOLOFOIL;No;EN
SUM_int_80;Umbreon-GX;80/172;Sun & Moon;Sun & Moon;Double Rare;200;Pokémon;5ban Graphics;2017-02-03T00:00:00Z;23,54;1;HOLOFOIL;No;EN
